"","Experience","AI_Correct","Human_Correct"
"1","Used & Thoroughly Understand",341,184
"2","Used & Roughly Understand",447,368
"3","Used & Lack Understanding",118,79
"4","Heard of & Not Used",32,23
"5","Not Heard of",5,6
