,Experience,AI_Correct,Human_Correct
1,Used & Thoroughly Understand,49%,39%
2,Used & Roughly Understand,47%,48%
3,Used & Lack Understanding,50%,45%
4,Heard of & Not Used,49%,42%
5,Not Heard of,45%,67%
